Review text,Predicted,Actual,Correct?,,,,,,,
I bought this screen protector for my Note 2 since I really liked it on my Note 10.1. I'm a bit disappointed in it. My first application was fine for about a week or two; then it developed a couple of bubbles I couldn't get to go away. Because of that; I replaced it with a new one. The second one has been on for about 2 weeks now and I have found it scratches very; very easily and is now also developing bubbles that are not around the scratches areas. I like the idea of this screen protector; but not sure I would recommend it.,1,1,1,,,,,,,
this product is a little bulky; but it does the job well when my wife and I are on the road and both of the iPhones or the iPads need charging.,4,4,1,,Legend,,,,,
I was surprised on how well this was designed.  It makes you wanted know what the true costs are when for $5 I received this nice product.  This is a simple very well thought out mount.  The shaft is thick; solid and stay where you put it.  If you use it vertically; there are to small wings that hold the bottom of the phone as well the 2 easy to see side grabbers.  When horizontal; the wings fold out of the way and the grabbers do the job.  I have a 5&#34; phone; the grabbers expand larger than needed; then just squeeze them together and you'll hear the ratchet lock them in place.  To release just press the button the back.  I will make one suggestion; the phone mounts to the base by sliding on in one direction.  It's really simple to do but if there is a weak spot; it's there.  If you're not thinking you could fight this mount and break it.  After all; it is plastic.,0,2,0,,0,bluetooth/sound/speaker,,,,
its protected lol!!! fits snug hard to get bubbles out tho but pretty great quality...i would recamend these protectors to anyone...,1,1,1,,1,phone case/screen protector,,,,
It works. No complaint here because I just needed it for my car. I just wish the base came with it too. Can't expect too much for the price.,2,2,1,,2,great phone/price,,,,
All of my friends love this case..i recieved it a week before its estimated shipping delivery..and the case is smooth..it fits the phone and protects it very well;;i would reccomed it to everyone..i have like thirty cases lol and this is in the top five of my favorite ones..,1,1,1,,4,battery/charger,,,,
this product was ok but when i got it the cord got lose i guess and i was already able to see the wire. the cords where a little shaky but it was ok overall.,2,4,0,,,,,,,
Easy to apply; stays on; easy to clean; stays cleaner longer then standard screen. Never had to change it yet; its been 9 months,1,1,1,,,,,,,
"I've tried a variety of ""sport"" Bluetooth headphones; but the GOGroove BlueVIBE F1T is the first I've used with this ""back of the head"" band configuration and it works quite well. One problem I often have with earbud-type headphones is that they don't stay in my ear. Here; the band exerts enough pressure to keep the earbuds pressed into my ears; so they don't fall out and I get reasonably good sound. I do have a rather large head; so an issue I often have is having headphones be too tight. The F1T was somewhat tight; but it didn't bother me. What I did find; though; was that the neck band would brush up against my shirt collar and move it around a bit. The earbuds themselves swivel a bit for a better fit; and this works well. The manufacturer sent me the headphones and asked me to review them.Pairing the F1T was simple - only one device at a time can be paired. There are three control buttons on the right side; power and up/down. On many Bluetooth headphones I find the controls difficult to find and reach; but not here. The center power button; larger than the others; controls most of the functions you'd use on a regular basis. I was a bit concerned; reading in the instructions; that different durations of pressing the button meant different things; but it beeps briefly at the 3-second mark; used for activating voice dialing with a phone; to let you know to let go. If you hold it longer; it shuts down.The up/down buttons will change volume or; if held down; change tracks. The power button pushed briefly is pause/play. In phone mode; a single press of the power button answers; a longer press sends to voicemail. The three-second press activated Siri on my iPhone. Sound quality wasn't the best I've heard; with considerable distortion on both sides of the conversation; but it's no worse than most Bluetooth headphones of this sort. When playing music; sound quality was ok for Bluetooth; but I've heard better.One problem I often see is inadequate Bluetooth range; but not here. I could get 10 feet or so away from my phone before the sound started to break up. Unlike another set I tested recently; putting my hand up to the right ear (where the receiver is) did not cause the signal to be lost.I don't particularly care for the F1T's charging solution. A C-shaped end of the cable slides up one earpiece to make contact with pins in the headphone; but there is no positive stop to the position and it's easy to push the cable on too far and miss the charging pins. The charging/activity LED is hidden in the plastic and not easy to see.",0,0,1,,Confusion Matrix,,,,,
Didn't work.  Returning it.  Very disappointed.  Provided no charge whatsoever after charging itself overnight.  choose something else.  I had high hopes,4,4,1,,,0,1,2,4,
